Date,Start,End,Subject,Activity
2.3.2021.,08:00,10:00,BIOINF,lesson
2.3.2021.,16:00,18:00,IUT,lesson
3.3.2021.,08:00,11:00,UUI,lesson
3.3.2021.,12:00,13:00,BA_THESIS,meeting
4.3.2021.,10:00,11:30,SRS,lesson
6.3.2021.,11:00,13:00,BA_THESIS,research
9.3.2021.,08:00,10:00,BIOINF,lesson
9.3.2021.,10:45,11:30,OOUP,lesson
9.3.2021.,16:00,18:00,IUT,lesson
9.3.2021.,18:00,19:00,OOUP,lab 1
10.3.2021.,08:00,11:00,UUI,lesson
10.3.2021.,12:00,13:00,OOUP,lab 1
10.3.2021.,14:00,15:00,SRS,lesson
11.3.2021.,08:30,11:00,SRS,lesson
11.3.2021.,13:00,14:30,SRS,lesson
13.3.2021.,11:00,12:30,OOUP,lab 1
14.3.2021.,11:00,12:00,BA_THESIS,research
14.3.2021.,14:00,17:00,BA_THESIS,research
15.3.2021.,15:00,16:00,OOUP,lab 1
15.3.2021.,18:00,19:30,OOUP,lab 1
16.3.2021.,08:00,10:00,BIOINF,lesson
16.3.2021.,10:30,12:15,OOUP,lesson
16.3.2021.,13:00,15:00,OOUP,lab 1
16.3.2021.,15:00,16:00,OOUP,lesson
16.3.2021.,16:00,18:00,IUT,lesson
17.3.2021.,08:00,11:00,UUI,lesson
17.3.2021.,12:00,12:45,SRS,lesson
17.3.2021.,13:15,14:00,SRS,lesson
18.3.2021.,09:00,10:30,SRS,lesson
18.3.2021.,13:00,13:30,SRS,lesson
18.3.2021.,17:30,19:00,SRS,lab 1
19.3.2021.,09:30,10:00,OOUP,lab 1
19.3.2021.,11:00,14:00,BA_THESIS,writing
19.3.2021.,16:30,18:30,BA_THESIS,writing
20.3.2021.,09:30,11:45,BA_THESIS,writing
20.3.2021.,15:00,17:00,BA_THESIS,writing
21.3.2021.,10:30,12:30,UUI,study
21.3.2021.,15:45,16:45,SRS,lab 1
21.3.2021.,17:00,18:00,BA_THESIS,writing
22.3.2021.,09:45,10:30,SRS,lab 1
22.3.2021.,10:30,12:00,UUI,lab 1
22.3.2021.,16:00,20:00,UUI,lab 1
23.3.2021.,08:00,10:00,BIOINF,lesson
23.3.2021.,10:00,10:45,UUI,lab 1
23.3.2021.,11:30,12:00,UUI,lab 1
23.3.2021.,13:00,13:30,UUI,lab 1
23.3.2021.,14:00,15:00,OOUP,lab 1
24.3.2021.,08:00,11:00,UUI,lesson
24.3.2021.,13:00,14:00,BA_THESIS,meeting
24.3.2021.,17:30,18:00,BA_THESIS,writing
24.3.2021.,18:00,20:00,SRS,lab 1
25.3.2021.,09:30,11:45,SRS,lesson
25.3.2021.,13:00,15:00,SRS,lab 1
25.3.2021.,18:00,19:30,SRS,lab 1
26.3.2021.,10:00,11:30,UUI,lesson
26.3.2021.,11:30,12:00,SRS,lab 1
26.3.2021.,13:00,14:00,SRS,lab 1
26.3.2021.,16:00,17:00,SRS,lab 1
26.3.2021.,17:00,18:00,UUI,lab 1
26.3.2021.,18:00,19:00,BA_THESIS,writing
27.3.2021.,09:00,11:00,BA_THESIS,writing
28.3.2021.,11:00,13:00,UUI,lesson
28.3.2021.,13:30,15:00,BA_THESIS,writing
28.3.2021.,16:30,17:30,OOUP,lesson
28.3.2021.,18:00,19:00,BA_THESIS,writing
30.3.2021.,10:00,12:00,BA_THESIS,writing
30.3.2021.,13:00,14:00,OOUP,lesson
30.3.2021.,16:00,18:00,IUT,lesson
31.3.2021.,08:00,11:00,UUI,lesson
31.3.2021.,14:00,16:45,BA_THESIS,writing
1.4.2021.,10:30,13:00,BA_THESIS,writing
1.4.2021.,14:00,16:00,BA_THESIS,writing
2.4.2021.,10:15,11:30,SRS,lesson
2.4.2021.,14:00,15:45,SRS,lesson
2.4.2021.,18:00,19:00,BA_THESIS,writing
3.4.2021.,11:00,12:30,UUI,lesson
3.4.2021.,13:00,14:00,UUI,lesson
3.4.2021.,15:45,16:15,BA_THESIS,writing
3.4.2021.,18:00,19:00,IUT,seminar
