Date,Start,End,Subject,Activity
28.9.2020.,12:00,14:00,INZEKO1,lesson
28.9.2020.,16:00,19:00,OPRPP1,lesson
29.9.2020.,13:00,16:00,PI,lesson
29.9.2020.,16:00,19:00,SAP,lesson
30.9.2020.,09:00,10:00,PPJ,lesson
2.10.2020.,10:00,10:40,PPJ,lesson
2.10.2020.,15:45,16:15,SAP,study
5.10.2020.,12:00,12:30,INZEKO1,lesson
5.10.2020.,15:00,16:00,PI,lab
5.10.2020.,16:00,19:00,OPRPP1,lesson
6.10.2020.,16:00,19:00,SAP,lesson
7.10.2020.,18:30,19:00,PI,project
8.10.2020.,12:00,12:30,BA_PROJECT,meeting
9.10.2020.,10:00,12:00,SAP,study
9.10.2020.,12:30,14:00,SAP,study
10.10.2020.,12:00,13:00,PPJ,study
10.10.2020.,16:00,18:30,PI,project
11.10.2020.,11:00,12:30,PPJ,lab
11.10.2020.,13:30,15:00,PPJ,lab
11.10.2020.,16:30,18:30,PPJ,lab
12.10.2020.,16:00,19:00,OPRPP1,lesson
12.10.2020.,19:00,20:00,OPRPP1,homework 1
13.10.2020.,10:30,12:30,OPRPP1,homework 1
13.10.2020.,13:00,16:00,PI,lesson
13.10.2020.,17:30,20:00,OPRPP1,homework 1
14.10.2020.,10:30,12:30,OPRPP1,homework 1
14.10.2020.,13:00,14:00,OPRPP1,homework 1
14.10.2020.,15:15,15:45,OPRPP1,homework 1
14.10.2020.,18:00,18:30,BA_PROJECT,reading
14.10.2020.,19:00,20:00,OPRPP1,homework 1
15.10.2020.,10:00,11:00,BA_PROJECT,reading
15.10.2020.,12:00,13:00,BA_PROJECT,meeting
15.10.2020.,14:00,15:00,OPRPP1,homework 1
15.10.2020.,17:00,18:00,SAP,study
15.10.2020.,19:00,20:00,SAP,study
16.10.2020.,10:15,11:45,SAP,study
16.10.2020.,13:15,14:00,SAP,study
16.10.2020.,15:45,17:30,OPRPP1,homework 1
17.10.2020.,10:30,12:00,OPRPP1,homework 1
17.10.2020.,13:30,14:00,OPRPP1,homework 1
18.10.2020.,13:30,15:00,SAP,study
19.10.2020.,10:15,11:00,PPJ,study
19.10.2020.,16:00,19:00,OPRPP1,lesson
20.10.2020.,09:30,11:00,OPRPP1,homework 2
20.10.2020.,13:00,15:00,PI,project
20.10.2020.,16:00,19:00,SAP,lesson
21.10.2020.,10:00,12:00,PI,project
21.10.2020.,12:00,13:00,OPRPP1,homework 2
21.10.2020.,14:00,16:00,OPRPP1,homework 2
21.10.2020.,18:00,19:30,OPRPP1,homework 2
22.10.2020.,09:30,12:00,OPRPP1,homework 2
22.10.2020.,12:00,12:30,BA_PROJECT,meeting
22.10.2020.,13:30,14:45,OPRPP1,homework 2
